DATE,PIEAMP02GBM659N
1960-01-01,0.179102470691609
1960-02-01,0.179102470691609
1960-03-01,0.0
1960-04-01,1.16906994372566
1960-05-01,1.5273881678022
1960-06-01,1.70713429726962
1960-07-01,1.97842519566673
1960-08-01,1.88506286697036
1960-09-01,1.79377951914594
1960-10-01,1.79218300588428
1960-11-01,1.88001195431093
1960-12-01,2.05727222718758
1961-01-01,2.14470717199273
1961-02-01,2.41276351767071
1961-03-01,2.8596132786942
1961-04-01,2.40000798383716
1961-05-01,2.2123572386966
1961-06-01,2.29680641201526
1961-07-01,2.38097123922183
1961-08-01,2.99556492669466
1961-09-01,3.17182699697001
1961-10-01,3.08097500187505
1961-11-01,3.07556210351846
1961-12-01,2.97981137016024
1962-01-01,3.06211877266845
1962-02-01,3.05410394775757
1962-03-01,2.78022118561037
1962-04-01,2.60414624992069
1962-05-01,2.42428097928178
1962-06-01,2.33162360457705
1962-07-01,2.23943662728508
1962-08-01,1.62535594111665
1962-09-01,1.622472600048
1962-10-01,1.70789953604833
1962-11-01,1.53454282018202
1962-12-01,1.53193008241929
1963-01-01,1.35819048003305
1963-02-01,1.10075668175467
1963-03-01,0.929784910326841
1963-04-01,1.01520378269792
1963-05-01,1.70618214749281
1963-06-01,0.759390424328437
1963-07-01,0.589676019221828
1963-08-01,0.504985539064788
1963-09-01,1.10795689816936
1963-10-01,1.02303386856729
1963-11-01,1.02303386856729
1963-12-01,1.62350420763653
1964-01-01,2.3077242942311
1964-02-01,2.3077242942311
1964-03-01,2.3077242942311
1964-04-01,2.3077242942311
1964-05-01,3.05347009697603
1964-06-01,3.84620367443034
1964-07-01,3.84620367443034
1964-08-01,3.84620367443034
1964-09-01,3.05347009697603
1964-10-01,3.05347009697603
1964-11-01,3.81684280527418
1964-12-01,3.78792719558926
1965-01-01,3.00755273526498
1965-02-01,3.75944602517877
1965-03-01,3.75944602517877
1965-04-01,4.51132910289745
1965-05-01,3.70374990932613
1965-06-01,3.70374990932613
1965-07-01,3.70374990932613
1965-08-01,3.70374990932613
1965-09-01,3.70374990932613
1965-10-01,3.70374990932613
1965-11-01,3.67651596998888
1965-12-01,2.919749928619
1966-01-01,3.64958083499888
1966-02-01,2.89848368367734
1966-03-01,2.89848368367734
1966-04-01,2.87763119953512
1966-05-01,2.14277814428188
1966-06-01,2.14277814428188
1966-07-01,2.85707633202684
1966-08-01,2.85707633202684
1966-09-01,2.85707633202684
1966-10-01,2.85707633202684
1966-11-01,2.12758087266563
1966-12-01,2.12758087266563
1967-01-01,1.40846687032985
1967-02-01,1.40846687032985
1967-03-01,1.40846687032985
1967-04-01,0.699313451936828
1967-05-01,0.699313451936828
1967-06-01,0.699313451936828
1967-07-01,0.69445702057405
1967-08-01,0.69445702057405
1967-09-01,0.69445702057405
1967-10-01,1.3889046090509
1967-11-01,1.3889046090509
1967-12-01,1.3889046090509
1968-01-01,2.08336162962495
1968-02-01,2.77780921810179
1968-03-01,3.47226623867583
1968-04-01,4.16672325924988
1968-05-01,4.16672325924988
1968-06-01,4.16672325924988
1968-07-01,4.13797735291559
1968-08-01,4.13797735291559
1968-09-01,4.13797735291559
1968-10-01,3.42470041674152
1968-11-01,4.10964422124541
1968-12-01,4.79448569397088
1969-01-01,4.76186956341768
1969-02-01,4.05401610520417
1969-03-01,4.02679834668903
1969-04-01,3.33327417525184
1969-05-01,3.33327417525184
1969-06-01,3.99995255280403
1969-07-01,3.31120841931654
1969-08-01,3.31120841931654
1969-09-01,3.9734626959594
1969-10-01,4.63572596744478
1969-11-01,3.94732103851369
1969-12-01,3.92162258732458
1970-01-01,4.54551067033374
1970-02-01,5.19486429773921
1970-03-01,5.16135765421209
1970-04-01,5.80643425705867
1970-05-01,7.09678024265382
1970-06-01,6.41025004777719
1970-07-01,7.69231572912354
1970-08-01,8.33334421652145
1970-09-01,8.28027400784705
1970-10-01,8.22786627327523
1970-11-01,9.49370309514651
1970-12-01,9.43398466747277
1971-01-01,9.9378356430689
1971-02-01,9.87649073173251
1971-03-01,9.8158977037813
1971-04-01,9.75614361610279
1971-05-01,9.63858940958336
1971-06-01,10.2410017590611
1971-07-01,9.52384301737374
1971-08-01,8.87577012780143
1971-09-01,8.82355878506918
1971-10-01,8.18715243232047
1971-11-01,6.93642040544556
1971-12-01,6.89655576165651
1972-01-01,5.64970472483995
1972-02-01,5.61797229822372
1972-03-01,5.0279171493792
1972-04-01,4.99998377679649
1972-05-01,4.39557798893064
1972-06-01,4.37156575922132
1972-07-01,4.34779944887216
1972-08-01,4.89128729784739
1972-09-01,5.4053901266567
1972-10-01,5.94594015192697
1972-11-01,7.02695944336717
1972-12-01,6.45154341393428
1973-01-01,6.41712033950033
1973-02-01,6.38298610170411
1973-03-01,6.91491064091101
1973-04-01,5.29099293350921
1973-05-01,5.78947789808446
1973-06-01,6.28272843280766
1973-07-01,6.77084840257917
1973-08-01,7.772046504944
1973-09-01,7.69226268615381
1973-10-01,9.18364108364438
1973-11-01,9.09095087276401
1973-12-01,10.1010633850009
1974-01-01,12.5628373927679
1974-02-01,16.024010375729
1974-03-01,18.7833021967177
1974-04-01,22.6732717665152
1974-05-01,22.7872792864213
1974-06-01,23.5597731943781
1974-07-01,23.6629153913464
1974-08-01,23.8138696200317
1974-09-01,23.9122161720259
1974-10-01,24.1031674745759
1974-11-01,25.4379997320028
1974-12-01,26.7483393873873
1975-01-01,27.5448952932279
1975-02-01,24.2774071828399
1975-03-01,23.5955351485059
1975-04-01,23.0769461878925
1975-05-01,24.4565295154982
1975-06-01,23.5293853268224
